event_id,event_date,category,title,agenda_name,status,has_video,video_url,duration_minutes,has_agenda,agenda_pdf_url,minutes_pdf_url,location
6094,2026-01-20,Pre-Submission Conferences,Pre-Submission Conferences,"January 20, 2026",Published,False,,,True,https://riverheadny.portal.civicclerk.com/event/6094/files/agenda/5919,,
6525,2026-01-15,Planning Board,Planning Board Meeting,"January 15, 2026",Published,True,https://cpmedia.azureedge.net/riverheadny/e12600b5-3952-4be9-9ff4-aaf23deca400.mp4,,True,https://riverheadny.portal.civicclerk.com/event/6525/files/agenda/5912,,"Riverhead Town Hall, 4 West Second Street, Riverhead, NY"
6462,2026-01-15,Town Board Work Session,Town Board Work Session,Work Session 1-15-26,Published,True,https://cpmedia.azureedge.net/riverheadny/10f9518d-e230-46ab-8860-0d0afbe296c5.mp4,,True,https://riverheadny.portal.civicclerk.com/event/6462/files/agenda/5915,,"Riverhead Town Hall, 4 West Second Street, Riverhead, NY"
6093,2026-01-13,Pre-Submission Conferences,Pre-Submission Conferences,"January 13, 2026",Published,False,,,True,https://riverheadny.portal.civicclerk.com/event/6093/files/agenda/5914,,
3873,2026-01-08,Zoning Board of Appeals,Zoning Board of Appeals,"January 8, 2026 Zoning Board of Appeals",Published,True,https://cpmedia.azureedge.net/riverheadny/88643942-cb7e-4a58-83f4-75c88403c4b0.mp4,,True,https://riverheadny.portal.civicclerk.com/event/3873/files/agenda/5906,,
6461,2026-01-08,Town Board Work Session,Town Board Work Session,Work Session 1-8-26,Published,True,https://cpmedia.azureedge.net/riverheadny/2dc4af92-c54f-4f42-9705-5f11ecdd67b0.mp4,,True,https://riverheadny.portal.civicclerk.com/event/6461/files/agenda/5911,,"Riverhead Town Hall, 4 West Second Street, Riverhead, NY"
6434,2026-01-06,Town Board,Town Board Meeting,Agenda for Town Board Meeting 1/6/2026,Published,True,https://cpmedia.azureedge.net/riverheadny/feaa76bd5a.mp4,95,True,https://riverheadny.portal.civicclerk.com/event/6434/files/agenda/5894,,"Riverhead Town Hall, 4 West Second Street, Riverhead, NY"
6092,2026-01-06,Pre-Submission Conferences,Pre-Submission Conferences,"January 6, 2026",Published,False,,,True,https://riverheadny.portal.civicclerk.com/event/6092/files/agenda/5910,,
6603,2026-01-02,Town Board Work Session,Town Board Work Session,Work Session Agenda 1/2/2026,Published,True,https://cpmedia.azureedge.net/riverheadny/6fa32c13-51f4-4a66-8780-4f6d67001332.mp4,,True,https://riverheadny.portal.civicclerk.com/event/6603/files/agenda/5909,,"Riverhead Town Hall, 4 West Second Street, Riverhead, NY"
6550,2025-12-30,Town Board,Special Town Board Meeting,Agenda for Special Town Board Meeting 12/30/2025,Published,True,https://cpmedia.azureedge.net/riverheadny/e5ca846690.mp4,25,True,https://riverheadny.portal.civicclerk.com/event/6550/files/agenda/5902,,"Riverhead Town Hall, 4 West Second Street, Riverhead, NY"
6091,2025-12-30,Pre-Submission Conferences,Pre-Submission Conferences,"December 30, 2025",Published,False,,,True,https://riverheadny.portal.civicclerk.com/event/6091/files/agenda/5905,,
6090,2025-12-23,Pre-Submission Conferences,Pre-Submission Conferences,"December 23, 2025",Published,False,,,True,https://riverheadny.portal.civicclerk.com/event/6090/files/agenda/5903,,
54,2025-12-18,Planning Board,Planning Board Meeting,"December 18, 2025",Published,True,https://cpmedia.azureedge.net/riverheadny/b284d0ef-abc5-400e-ae7e-4cfb7fc0a3a4.mp4,,True,https://riverheadny.portal.civicclerk.com/event/54/files/agenda/5898,,"Riverhead Town Hall, 4 West Second Street, Riverhead, NY"
151,2025-12-18,Town Board Work Session,Town Board Work Session,Work Session Agenda 12-18-25,Published,True,https://cpmedia.azureedge.net/riverheadny/a9e8fb00-0a07-47a2-b815-512072d46827.mp4,,True,https://riverheadny.portal.civicclerk.com/event/151/files/agenda/5901,,"Riverhead Town Hall, 4 West Second Street, Riverhead, NY"
23,2025-12-16,Town Board,Town Board Meeting,Agenda for Town Board Meeting 12/16/2025,Published,True,https://cpmedia.azureedge.net/riverheadny/ff5c1ba81c.mp4,79,True,https://riverheadny.portal.civicclerk.com/event/23/files/agenda/5881,,"Riverhead Town Hall, 4 West Second Street, Riverhead, NY"
69,2025-12-16,Community Development Agency,Community Development Agency Meeting,Agenda for Community Development Agency,Published,False,,,True,https://riverheadny.portal.civicclerk.com/event/69/files/agenda/5882,,"Riverhead Town Hall, 4 West Second Street, Riverhead, NY"
6089,2025-12-16,Pre-Submission Conferences,Pre-Submission Conferences,"December 16, 2025",Published,False,,,True,https://riverheadny.portal.civicclerk.com/event/6089/files/agenda/5899,,
3872,2025-12-11,Zoning Board of Appeals,Zoning Board of Appeals,"December 11, 2025 Zoning Board of Appeals",Published,True,https://cpmedia.azureedge.net/riverheadny/33f5e6ca-43a1-49b8-bc53-b7104a979fab.mp4,,True,https://riverheadny.portal.civicclerk.com/event/3872/files/agenda/5895,,
150,2025-12-11,Town Board Work Session,Town Board Work Session,Work Session 12-11-25,Published,True,https://cpmedia.azureedge.net/riverheadny/70a91106-e54b-48ba-97d0-1d1eeb32ca56.mp4,,True,https://riverheadny.portal.civicclerk.com/event/150/files/agenda/5897,,"Riverhead Town Hall, 4 West Second Street, Riverhead, NY"
6088,2025-12-09,Pre-Submission Conferences,Pre-Submission Conferences,"December 9, 2025",Published,False,,,True,https://riverheadny.portal.civicclerk.com/event/6088/files/agenda/5896,,
41,2025-12-04,Planning Board,Planning Board Meeting,"December 4, 2025",Published,True,https://cpmedia.azureedge.net/riverheadny/7a4f1913-8f7c-4179-8092-116bee72c56c.mp4,,True,https://riverheadny.portal.civicclerk.com/event/41/files/agenda/5890,,"Riverhead Town Hall, 4 West Second Street, Riverhead, NY"
149,2025-12-04,Town Board Work Session,Town Board Work Session,Work Session Agenda 12-4-25,Published,True,https://cpmedia.azureedge.net/riverheadny/3025b339-6596-4292-8c09-523092594af6.mp4,,True,https://riverheadny.portal.civicclerk.com/event/149/files/agenda/5893,,"Riverhead Town Hall, 4 West Second Street, Riverhead, NY"
6433,2025-12-03,Architectural Review Board,Architectural Review Board,"December 3, 2025",Published,False,,,True,https://riverheadny.portal.civicclerk.com/event/6433/files/agenda/5891,,"Riverhead Town Hall, 4 West Second Street, Riverhead, NY"
11,2025-12-02,Town Board,Town Board Meeting,Agenda for Town Board Meeting 12/2/2025,Published,True,https://cpmedia.azureedge.net/riverheadny/f304594c2a.mp4,48,True,https://riverheadny.portal.civicclerk.com/event/11/files/agenda/5876,,"Riverhead Town Hall, 4 West Second Street, Riverhead, NY"
